Work_Order,Root_Work_Order,wo_depot,asset_depot,Asset,description,Comment on WO SiteReport,priority,job_type,Gas in Property,Component,Corrective Action,Repairs,Corrosion,Fracture,Failure,Interference,Other,status,status_date,scheduled_start,actual_finish,Location,principal_street,post_town,out_code,in_code,Lead_Id,Lead_Name,Material,Diameter
W2300228,W2300224,ABERDEEN,ABERDEEN,ASSET-0973,Service riser inspection,No visible defect found on main,3,ME,NO  [Root WO: Gas in Property = YES],METER,Riser section replaced,Y,1,0,0,0,0,CLOSE,2026-05-26 12:44:32,2026-05-26 07:59:00,2026-05-26 12:44:32,LOC-ABD-503,UNION STREET,ABERDEEN,AB6,9NU,ENG002,Alistair Fraser,AC,200
W2300229,W2300226,DUNDEE,DUNDEE,ASSET-7939,Main repair following excavation,Bypass valve faulty,4,MR,NO  [Root WO: Gas in Property = NO],METER,Valve replaced,N,0,1,0,0,0,PEND,2026-05-27 18:11:00,2026-05-27 09:48:00,2026-05-27 18:11:00,LOC-DND-159,MARKET STREET,DUNDEE,DN4,3FF,ENG001,John MacDonald,AC,32
W2300230,W2300222,EDINBURGH,EDINBURGH,ASSET-0993,Meter bypass repair,Isolation required,3,MR,NO,RISER,Valve replaced,Y,1,0,0,0,0,PEND,2026-05-27 15:50:57,2026-05-27 11:35:00,2026-05-27 15:50:57,LOC-EDI-124,PRINCES STREET,EDINBURGH,ED1,3GS,ENG009,Lorna Mitchell,CI,63
W2300231,W2300222,GLASGOW,GLASGOW,ASSET-1629,Joint failure investigation,Corrosion on steel riser above ground,3,EM,NO  [Root WO: Gas in Property = NO],JOINT,Section replaced with PE,Y,0,0,1,0,0,CLOSE,2026-05-27 15:58:01,2026-05-27 09:31:00,2026-05-27 15:58:01,LOC-GLW-889,ARGYLE STREET,GLASGOW,GL5,5MC,ENG010,Brian Thomson,PE,150
W2300232,W2300228,PAISLEY,PAISLEY,ASSET-2364,Meter bypass repair,Leak found at joint under pavement,4,MR,YES,JOINT,Valve replaced,Y,0,0,0,1,0,CLOSE,2026-05-26 16:19:53,2026-05-26 11:16:00,2026-05-26 16:19:53,LOC-PSL-707,UNION STREET,PAISLEY,PS6,6JV,ENG003,Catriona Stewart,AC,25
W2300233,W2300229,STIRLING,STIRLING,ASSET-4765,PE pipe section renewal,Temporary clamp applied,1,ME,YES,JOINT,Riser section replaced,N,0,0,0,1,0,COMP,2026-05-26 17:43:43,2026-05-26 13:58:00,2026-05-26 17:43:43,LOC-STL-650,PRINCES STREET,STIRLING,ST4,7KD,ENG011,Sandra Gillies,ST,250
W2300234,W2300232,INVERNESS,INVERNESS,ASSET-4244,Main repair following excavation,Isolation required,1,MR,NO  [Root WO: Gas in Property = YES],METER,Riser section replaced,N,0,0,0,1,0,OPEN,2026-05-27 20:07:43,2026-05-27 11:54:00,2026-05-27 20:07:43,LOC-INV-487,MAIN STREET,INVERNESS,IN8,7WZ,ENG001,John MacDonald,ST,63
W2300235,W2300228,DUNDEE,DUNDEE,ASSET-4727,Pressure drop investigation,Corrosion on steel riser above ground,2,IR,YES,MAIN,Section replaced with PE,N,0,0,1,0,0,CLOSE,2026-05-26 19:35:31,2026-05-26 13:03:00,2026-05-26 19:35:31,LOC-DND-553,BUCHANAN STREET,DUNDEE,DN1,5ET,ENG004,Douglas Reid,CI,150
W2300236,W2300232,STIRLING,STIRLING,ASSET-2445,Pressure drop investigation,Root damage identified,1,MR,NO  [Root WO: Gas in Property = YES],METER,Riser section replaced,N,0,0,0,1,0,PEND,2026-05-27 14:02:02,2026-05-27 10:38:00,2026-05-27 14:02:02,LOC-STL-306,VICTORIA ROAD,STIRLING,ST3,2KN,ENG006,Kevin McAllister,AC,32
W2300237,W2300234,GLASGOW,GLASGOW,ASSET-8317,Valve replacement,Excavation required,3,EM,NO,JOINT,Monitor and review,N,0,0,1,0,0,OPEN,2026-05-27 12:54:58,2026-05-27 09:23:00,2026-05-27 12:54:58,LOC-GLW-427,CHURCH STREET,GLASGOW,GL2,6HS,ENG013,Lynn Murray,AC,32
W2300238,W2300231,EDINBURGH,EDINBURGH,ASSET-7448,Main repair following excavation,Temporary clamp applied,2,IR,NO  [Root WO: Gas in Property = YES],SERVICE PIPE,Section replaced with PE,N,0,1,0,0,0,COMP,2026-05-26 17:28:29,2026-05-26 12:24:00,2026-05-26 17:28:29,LOC-EDI-831,PRINCES STREET,EDINBURGH,ED8,8ZP,ENG012,Neil Forsyth,ST,25
W2300239,W2300234,PAISLEY,PAISLEY,ASSET-4348,Corrosion repair on main,Excavation required,2,EM,NO  [Root WO: Gas in Property = NO],METER,Monitor and review,N,0,1,0,0,0,PEND,2026-05-27 12:46:46,2026-05-27 07:44:00,2026-05-27 12:46:46,LOC-PSL-052,KING STREET,PAISLEY,PS5,4OR,ENG013,Lynn Murray,AC,32
W2300240,W2300236,STIRLING,STIRLING,ASSET-0633,Service pipe leak repair,Excavation required,2,MR,NO,JOINT,Clamp fitted,Y,0,0,0,0,1,PEND,2026-05-27 16:05:27,2026-05-27 09:42:00,2026-05-27 16:05:27,LOC-STL-920,VICTORIA ROAD,STIRLING,ST2,2NL,ENG003,Catriona Stewart,ST,150
W2300241,W2300234,PAISLEY,PAISLEY,ASSET-2327,Routine repair WO,Isolation required,4,IR,NO,METER,Section replaced with PE,N,1,0,0,0,0,PEND,2026-05-26 17:46:55,2026-05-26 10:19:00,2026-05-26 17:46:55,LOC-PSL-468,VICTORIA ROAD,PAISLEY,PS1,5LR,ENG001,John MacDonald,CI,250
W2300242,W2300239,AYR,AYR,ASSET-9592,Pressure drop investigation,PE joint failure on low pressure,1,IR,NO  [Root WO: Gas in Property = YES],MAIN,Pipe section renewed,N,0,0,0,0,1,CLOSE,2026-05-27 18:45:54,2026-05-27 12:14:00,2026-05-27 18:45:54,LOC-AYR-885,VICTORIA ROAD,AYR,AY7,4QK,ENG014,Ross Campbell,AC,100
W2300243,W2300240,INVERNESS,INVERNESS,ASSET-7785,Pressure drop investigation,PE joint failure on low pressure,1,EM,NO  [Root WO: Gas in Property = YES],METER,Riser section replaced,N,1,0,0,0,0,COMP,2026-05-27 11:07:12,2026-05-27 07:45:00,2026-05-27 11:07:12,LOC-INV-153,MARKET STREET,INVERNESS,IN1,2BI,ENG009,Lorna Mitchell,ST,250
W2300244,W2300241,MOTHERWELL,MOTHERWELL,ASSET-0074,PE pipe section renewal,Excavation required,1,IR,NO  [Root WO: Gas in Property = YES],JOINT,Clamp fitted,N,0,0,0,0,1,COMP,2026-05-26 18:22:36,2026-05-26 11:26:00,2026-05-26 18:22:36,LOC-MTH-946,VICTORIA ROAD,MOTHERWELL,MT3,9QD,ENG001,John MacDonald,AC,63
W2300245,W2300244,MOTHERWELL,MOTHERWELL,ASSET-2372,Emergency service connection,Customer reported smell,3,ME,NO  [Root WO: Gas in Property = YES],RISER,Section replaced with PE,N,0,0,0,1,0,COMP,2026-05-27 16:36:49,2026-05-27 11:35:00,2026-05-27 16:36:49,LOC-MTH-224,VICTORIA ROAD,MOTHERWELL,MT6,8VH,ENG007,Morag Henderson,ST,250
W2300246,W2300237,MOTHERWELL,MOTHERWELL,ASSET-3295,Pressure drop investigation,Isolation required,2,MR,NO  [Root WO: Gas in Property = NO],SERVICE PIPE,Section replaced with PE,N,0,1,0,0,0,COMP,2026-05-27 16:36:01,2026-05-27 12:49:00,2026-05-27 16:36:01,LOC-MTH-582,MARKET STREET,MOTHERWELL,MT5,3LV,ENG008,Craig Burns,CI,100
W2300247,W2300242,MOTHERWELL,MOTHERWELL,ASSET-0906,PE pipe section renewal,Excavation required,1,ME,NO  [Root WO: Gas in Property = NO],RISER,Temporary repair applied,Y,1,0,0,0,0,PEND,2026-05-27 17:01:30,2026-05-27 12:44:00,2026-05-27 17:01:30,LOC-MTH-960,PRINCES STREET,MOTHERWELL,MT5,8CP,ENG012,Neil Forsyth,AC,100
W2300248,W2300241,PAISLEY,PAISLEY,ASSET-6714,Joint failure investigation,Leak found at joint under pavement,4,MR,YES,JOINT,Pipe section renewed,Y,1,0,0,0,0,PEND,2026-05-27 18:05:54,2026-05-27 13:25:00,2026-05-27 18:05:54,LOC-PSL-718,BUCHANAN STREET,PAISLEY,PS1,1QG,ENG003,Catriona Stewart,PE,32
W2300249,W2300244,STIRLING,STIRLING,ASSET-2143,Pressure drop investigation,Temporary clamp applied,2,MR,NO,METER,Riser section replaced,Y,0,1,0,0,0,COMP,2026-05-27 16:06:46,2026-05-27 07:10:00,2026-05-27 16:06:46,LOC-STL-174,CHURCH STREET,STIRLING,ST2,3TX,ENG011,Sandra Gillies,AC,32
W2300250,W2300245,INVERNESS,INVERNESS,ASSET-0432,Valve replacement,Bypass valve faulty,1,EM,NO,VALVE,PE joint re-made,N,0,0,1,0,0,OPEN,2026-05-26 15:55:31,2026-05-26 11:44:00,2026-05-26 15:55:31,LOC-INV-963,KING STREET,INVERNESS,IN9,4KW,ENG007,Morag Henderson,AC,63
W2300251,W2300250,INVERNESS,INVERNESS,ASSET-9822,PE pipe section renewal,Customer reported smell,4,MR,NO  [Root WO: Gas in Property = YES],METER,Isolation applied,Y,0,1,0,0,0,CLOSE,2026-05-26 14:06:31,2026-05-26 10:44:00,2026-05-26 14:06:31,LOC-INV-964,BUCHANAN STREET,INVERNESS,IN4,3NY,ENG005,Fiona Cameron,AC,25
W2300252,W2300242,MOTHERWELL,MOTHERWELL,ASSET-4752,Corrosion repair on main,Leak found at joint under pavement,1,IR,YES,VALVE,Temporary repair applied,N,0,1,0,0,0,COMP,2026-05-26 16:21:58,2026-05-26 10:19:00,2026-05-26 16:21:58,LOC-MTH-630,KING STREET,MOTHERWELL,MT4,7GO,ENG002,Alistair Fraser,PE,200
W2300253,W2300246,GLASGOW,GLASGOW,ASSET-8725,Joint failure investigation,Excavation required,3,EM,NO,VALVE,Section replaced with PE,N,0,1,0,0,0,PEND,2026-05-26 19:55:53,2026-05-26 11:12:00,2026-05-26 19:55:53,LOC-GLW-984,MARKET STREET,GLASGOW,GL9,6FT,ENG002,Alistair Fraser,AC,63
W2300254,W2300244,EDINBURGH,EDINBURGH,ASSET-7398,PE pipe section renewal,Leak found at joint under pavement,2,IR,NO  [Root WO: Gas in Property = YES],MAIN,Monitor and review,Y,0,0,0,0,1,COMP,2026-05-27 13:56:25,2026-05-27 07:16:00,2026-05-27 13:56:25,LOC-EDI-009,UNION STREET,EDINBURGH,ED7,5QD,ENG015,Diane Kerr,ST,200
W2300255,W2300252,ABERDEEN,ABERDEEN,ASSET-3363,Emergency service connection,Leak found at joint under pavement,1,IR,NO  [Root WO: Gas in Property = NO],VALVE,PE joint re-made,Y,0,1,0,0,0,CLOSE,2026-05-27 16:01:07,2026-05-27 13:33:00,2026-05-27 16:01:07,LOC-ABD-290,UNION STREET,ABERDEEN,AB2,2XL,ENG003,Catriona Stewart,CI,250
W2300256,W2300248,STIRLING,STIRLING,ASSET-5159,Corrosion repair on main,No visible defect found on main,2,ME,YES,JOINT,Valve replaced,N,1,0,0,0,0,PEND,2026-05-26 17:18:45,2026-05-26 13:59:00,2026-05-26 17:18:45,LOC-STL-979,HIGH STREET,STIRLING,ST3,2SL,ENG004,Douglas Reid,ST,63
W2300257,W2300252,EDINBURGH,EDINBURGH,ASSET-7762,Gas smell report investigation,PE joint failure on low pressure,1,IR,NO  [Root WO: Gas in Property = NO],SERVICE PIPE,Monitor and review,Y,0,0,1,0,0,COMP,2026-05-26 16:39:05,2026-05-26 11:58:00,2026-05-26 16:39:05,LOC-EDI-579,ARGYLE STREET,EDINBURGH,ED3,8FB,ENG008,Craig Burns,PE,250
W2300258,W2300252,PERTH,PERTH,ASSET-4305,Main repair following excavation,No visible defect found on main,2,IR,NO,JOINT,Pipe section renewed,N,1,0,0,0,0,COMP,2026-05-26 14:10:50,2026-05-26 08:39:00,2026-05-26 14:10:50,LOC-PRT-684,BUCHANAN STREET,PERTH,PR4,4WA,ENG002,Alistair Fraser,ST,32
W2300259,W2300258,INVERNESS,INVERNESS,ASSET-3549,PE pipe section renewal,Temporary clamp applied,4,EM,NO  [Root WO: Gas in Property = YES],MAIN,Valve replaced,Y,0,1,0,0,0,PEND,2026-05-26 20:36:02,2026-05-26 13:12:00,2026-05-26 20:36:02,LOC-INV-150,CHURCH STREET,INVERNESS,IN6,2PR,ENG010,Brian Thomson,PE,32
W2300260,W2300254,MOTHERWELL,MOTHERWELL,ASSET-5459,Joint failure investigation,PE joint failure on low pressure,4,MR,YES,RISER,Pipe section renewed,N,0,1,0,0,0,PEND,2026-05-26 19:03:03,2026-05-26 10:34:00,2026-05-26 19:03:03,LOC-MTH-957,VICTORIA ROAD,MOTHERWELL,MT2,3NB,ENG007,Morag Henderson,CI,200
W2300261,W2300251,STIRLING,STIRLING,ASSET-5712,Service riser inspection,Customer reported smell,1,EM,YES,JOINT,Riser section replaced,Y,0,1,0,0,0,PEND,2026-05-26 19:03:54,2026-05-26 11:24:00,2026-05-26 19:03:54,LOC-STL-969,KING STREET,STIRLING,ST2,4GC,ENG008,Craig Burns,CI,150
W2300262,W2300252,EDINBURGH,EDINBURGH,ASSET-2416,PE pipe section renewal,Temporary clamp applied,1,EM,NO  [Root WO: Gas in Property = NO],MAIN,Monitor and review,N,0,0,0,0,1,CLOSE,2026-05-27 18:27:09,2026-05-27 13:39:00,2026-05-27 18:27:09,LOC-EDI-907,CHURCH STREET,EDINBURGH,ED9,6IO,ENG001,John MacDonald,CI,63
W2300263,W2300253,INVERNESS,INVERNESS,ASSET-8426,PE pipe section renewal,Leak found at joint under pavement,4,EM,NO  [Root WO: Gas in Property = NO],MAIN,Clamp fitted,N,0,0,0,1,0,OPEN,2026-05-27 08:41:17,2026-05-27 06:25:00,2026-05-27 08:41:17,LOC-INV-136,VICTORIA ROAD,INVERNESS,IN6,5BR,ENG011,Sandra Gillies,PE,150
W2300264,W2300254,PAISLEY,PAISLEY,ASSET-8625,Valve replacement,Isolation required,1,MR,YES,RISER,Isolation applied,Y,0,0,0,1,0,COMP,2026-05-26 13:22:23,2026-05-26 11:14:00,2026-05-26 13:22:23,LOC-PSL-578,MAIN STREET,PAISLEY,PS7,8LI,ENG004,Douglas Reid,ST,32
W2300265,W2300255,PERTH,PERTH,ASSET-2240,Service riser inspection,No visible defect found on main,3,EM,NO,JOINT,Isolation applied,Y,0,0,0,0,1,CLOSE,2026-05-26 19:40:55,2026-05-26 11:14:00,2026-05-26 19:40:55,LOC-PRT-800,PRINCES STREET,PERTH,PR9,9UU,ENG013,Lynn Murray,CI,150
W2300266,W2300261,GLASGOW,GLASGOW,ASSET-1294,Routine repair WO,Customer reported smell,4,ME,NO,MAIN,Section replaced with PE,Y,0,1,0,0,0,COMP,2026-05-27 14:35:03,2026-05-27 10:41:00,2026-05-27 14:35:03,LOC-GLW-708,MARKET STREET,GLASGOW,GL5,7SA,ENG003,Catriona Stewart,CI,25
W2300267,W2300260,PAISLEY,PAISLEY,ASSET-8750,Main repair following excavation,Leak found at joint under pavement,4,EM,NO,RISER,Isolation applied,N,0,0,0,0,1,CLOSE,2026-05-26 18:02:20,2026-05-26 11:06:00,2026-05-26 18:02:20,LOC-PSL-651,VICTORIA ROAD,PAISLEY,PS8,3BB,ENG004,Douglas Reid,PE,100
W2300268,W2300263,EDINBURGH,EDINBURGH,ASSET-0149,Meter bypass repair,Bypass valve faulty,1,EM,NO,SERVICE PIPE,Isolation applied,N,0,0,0,0,1,PEND,2026-05-26 14:59:58,2026-05-26 10:12:00,2026-05-26 14:59:58,LOC-EDI-245,ARGYLE STREET,EDINBURGH,ED1,2EA,ENG014,Ross Campbell,CI,63
W2300269,W2300266,PAISLEY,PAISLEY,ASSET-8666,Routine repair WO,Temporary clamp applied,4,IR,NO  [Root WO: Gas in Property = YES],RISER,Riser section replaced,N,0,0,0,1,0,PEND,2026-05-26 15:41:38,2026-05-26 12:15:00,2026-05-26 15:41:38,LOC-PSL-196,PRINCES STREET,PAISLEY,PS9,2KV,ENG005,Fiona Cameron,PE,150
W2300270,W2300260,PAISLEY,PAISLEY,ASSET-9481,PE pipe section renewal,Isolation required,1,IR,YES,SERVICE PIPE,Valve replaced,Y,0,0,0,1,0,PEND,2026-05-26 15:22:55,2026-05-26 08:30:00,2026-05-26 15:22:55,LOC-PSL-313,UNION STREET,PAISLEY,PS7,8NG,ENG013,Lynn Murray,ST,63
W2300271,W2300266,STIRLING,STIRLING,ASSET-2584,Service riser inspection,Leak found at joint under pavement,2,MR,NO,METER,Monitor and review,N,0,0,0,0,1,PEND,2026-05-27 21:27:59,2026-05-27 13:43:00,2026-05-27 21:27:59,LOC-STL-733,UNION STREET,STIRLING,ST3,5WP,ENG008,Craig Burns,ST,32
W2300272,W2300262,EDINBURGH,EDINBURGH,ASSET-2715,PE pipe section renewal,Root damage identified,2,MR,NO,METER,Pipe section renewed,Y,0,0,0,1,0,PEND,2026-05-27 16:31:10,2026-05-27 12:01:00,2026-05-27 16:31:10,LOC-EDI-417,MAIN STREET,EDINBURGH,ED6,1YS,ENG005,Fiona Cameron,ST,100
W2300273,W2300267,AYR,AYR,ASSET-8583,Emergency service connection,PE joint failure on low pressure,1,IR,YES,MAIN,Valve replaced,Y,0,1,0,0,0,CLOSE,2026-05-27 10:25:25,2026-05-27 06:11:00,2026-05-27 10:25:25,LOC-AYR-751,VICTORIA ROAD,AYR,AY8,5MB,ENG010,Brian Thomson,ST,25
W2300274,W2300273,ABERDEEN,ABERDEEN,ASSET-4872,Emergency service connection,Bypass valve faulty,1,ME,NO,JOINT,PE joint re-made,N,0,0,1,0,0,CLOSE,2026-05-27 12:40:57,2026-05-27 07:55:00,2026-05-27 12:40:57,LOC-ABD-922,ARGYLE STREET,ABERDEEN,AB1,1LH,ENG004,Douglas Reid,AC,63
W2300275,W2300268,STIRLING,STIRLING,ASSET-0168,Service riser inspection,No visible defect found on main,1,MR,NO  [Root WO: Gas in Property = YES],VALVE,Monitor and review,N,0,0,0,1,0,PEND,2026-05-27 19:53:08,2026-05-27 12:50:00,2026-05-27 19:53:08,LOC-STL-917,UNION STREET,STIRLING,ST8,3HT,ENG012,Neil Forsyth,AC,100
W2300276,W2300273,ABERDEEN,ABERDEEN,ASSET-7909,Joint failure investigation,Bypass valve faulty,1,MR,NO  [Root WO: Gas in Property = YES],JOINT,PE joint re-made,Y,1,0,0,0,0,CLOSE,2026-05-27 11:07:25,2026-05-27 07:10:00,2026-05-27 11:07:25,LOC-ABD-875,MAIN STREET,ABERDEEN,AB5,9BI,ENG010,Brian Thomson,AC,100
W2300277,W2300270,GLASGOW,GLASGOW,ASSET-9035,Main repair following excavation,Customer reported smell,4,ME,NO  [Root WO: Gas in Property = YES],SERVICE PIPE,Pipe section renewed,Y,0,0,1,0,0,PEND,2026-05-27 13:24:55,2026-05-27 09:09:00,2026-05-27 13:24:55,LOC-GLW-283,MARKET STREET,GLASGOW,GL9,2AW,ENG005,Fiona Cameron,AC,150
W2300278,W2300276,PERTH,PERTH,ASSET-6344,Service riser inspection,PE joint failure on low pressure,2,IR,NO  [Root WO: Gas in Property = NO],SERVICE PIPE,Temporary repair applied,N,1,0,0,0,0,OPEN,2026-05-26 14:44:05,2026-05-26 11:50:00,2026-05-26 14:44:05,LOC-PRT-431,BUCHANAN STREET,PERTH,PR5,8TA,ENG007,Morag Henderson,AC,150
W2300279,W2300272,AYR,AYR,ASSET-2270,Service pipe leak repair,Customer reported smell,2,MR,NO  [Root WO: Gas in Property = YES],MAIN,Isolation applied,N,1,0,0,0,0,OPEN,2026-05-26 14:54:12,2026-05-26 07:13:00,2026-05-26 14:54:12,LOC-AYR-375,MARKET STREET,AYR,AY3,4IW,ENG012,Neil Forsyth,CI,100
W2300280,W2300277,PAISLEY,PAISLEY,ASSET-9641,Service pipe leak repair,Bypass valve faulty,3,IR,NO,JOINT,Clamp fitted,N,0,0,1,0,0,CLOSE,2026-05-27 14:17:53,2026-05-27 06:21:00,2026-05-27 14:17:53,LOC-PSL-783,BUCHANAN STREET,PAISLEY,PS2,1TQ,ENG006,Kevin McAllister,CI,250
W2300281,W2300280,STIRLING,STIRLING,ASSET-6118,Joint failure investigation,Temporary clamp applied,1,ME,NO,JOINT,Valve replaced,Y,0,1,0,0,0,OPEN,2026-05-26 16:46:41,2026-05-26 08:09:00,2026-05-26 16:46:41,LOC-STL-995,KING STREET,STIRLING,ST2,7OK,ENG002,Alistair Fraser,PE,32
W2300282,W2300279,GLASGOW,GLASGOW,ASSET-8831,Valve replacement,Customer reported smell,1,ME,NO  [Root WO: Gas in Property = YES],METER,PE joint re-made,Y,0,0,0,0,1,PEND,2026-05-26 17:59:48,2026-05-26 11:16:00,2026-05-26 17:59:48,LOC-GLW-228,MARKET STREET,GLASGOW,GL2,2IO,ENG013,Lynn Murray,ST,100
W2300283,W2300276,STIRLING,STIRLING,ASSET-5008,Meter bypass repair,Isolation required,2,ME,NO  [Root WO: Gas in Property = YES],JOINT,Valve replaced,Y,0,1,0,0,0,CLOSE,2026-05-27 17:02:54,2026-05-27 08:27:00,2026-05-27 17:02:54,LOC-STL-112,KING STREET,STIRLING,ST7,7TW,ENG006,Kevin McAllister,CI,250
W2300284,W2300278,INVERNESS,INVERNESS,ASSET-6537,Joint failure investigation,Root damage identified,4,EM,NO  [Root WO: Gas in Property = YES],METER,Pipe section renewed,N,0,0,1,0,0,PEND,2026-05-27 19:21:13,2026-05-27 12:01:00,2026-05-27 19:21:13,LOC-INV-644,HIGH STREET,INVERNESS,IN7,2WH,ENG003,Catriona Stewart,AC,150
W2300285,W2300281,PERTH,PERTH,ASSET-0280,Corrosion repair on main,Bypass valve faulty,1,MR,NO  [Root WO: Gas in Property = YES],VALVE,Isolation applied,N,0,1,0,0,0,CLOSE,2026-05-26 13:58:42,2026-05-26 07:52:00,2026-05-26 13:58:42,LOC-PRT-825,MAIN STREET,PERTH,PR5,7VU,ENG013,Lynn Murray,AC,150
W2300286,W2300284,EDINBURGH,EDINBURGH,ASSET-7786,Meter bypass repair,Corrosion on steel riser above ground,4,ME,NO  [Root WO: Gas in Property = NO],MAIN,Clamp fitted,N,0,0,0,1,0,OPEN,2026-05-26 11:26:32,2026-05-26 06:42:00,2026-05-26 11:26:32,LOC-EDI-356,MARKET STREET,EDINBURGH,ED5,6MO,ENG014,Ross Campbell,CI,25
W2300287,W2300283,PERTH,PERTH,ASSET-9060,Main repair following excavation,Corrosion on steel riser above ground,4,IR,NO  [Root WO: Gas in Property = YES],JOINT,Temporary repair applied,Y,0,0,0,0,1,OPEN,2026-05-27 13:44:32,2026-05-27 07:12:00,2026-05-27 13:44:32,LOC-PRT-404,PRINCES STREET,PERTH,PR8,7FX,ENG003,Catriona Stewart,ST,250
W2300288,W2300283,AYR,AYR,ASSET-9867,Corrosion repair on main,No visible defect found on main,4,IR,NO  [Root WO: Gas in Property = YES],JOINT,PE joint re-made,N,0,0,1,0,0,OPEN,2026-05-27 15:05:54,2026-05-27 07:34:00,2026-05-27 15:05:54,LOC-AYR-649,HIGH STREET,AYR,AY5,1PC,ENG004,Douglas Reid,AC,63
W2300289,W2300279,AYR,AYR,ASSET-7229,PE pipe section renewal,Corrosion on steel riser above ground,1,EM,NO  [Root WO: Gas in Property = YES],METER,PE joint re-made,N,0,1,0,0,0,OPEN,2026-05-26 15:06:59,2026-05-26 12:03:00,2026-05-26 15:06:59,LOC-AYR-430,BUCHANAN STREET,AYR,AY3,7PQ,ENG014,Ross Campbell,PE,100
W2300290,W2300287,PERTH,PERTH,ASSET-7454,Joint failure investigation,No visible defect found on main,2,MR,NO,RISER,Monitor and review,Y,0,0,0,1,0,COMP,2026-05-27 11:40:15,2026-05-27 08:19:00,2026-05-27 11:40:15,LOC-PRT-630,MAIN STREET,PERTH,PR1,1LO,ENG003,Catriona Stewart,PE,250
W2300291,W2300288,PERTH,PERTH,ASSET-6916,Corrosion repair on main,Root damage identified,3,IR,YES,JOINT,Valve replaced,Y,0,0,0,1,0,COMP,2026-05-26 17:05:27,2026-05-26 09:43:00,2026-05-26 17:05:27,LOC-PRT-111,ARGYLE STREET,PERTH,PR7,5KM,ENG002,Alistair Fraser,CI,63
W2300292,W2300291,INVERNESS,INVERNESS,ASSET-0019,Routine repair WO,PE joint failure on low pressure,3,MR,NO  [Root WO: Gas in Property = NO],MAIN,Pipe section renewed,N,1,0,0,0,0,OPEN,2026-05-27 20:18:30,2026-05-27 13:44:00,2026-05-27 20:18:30,LOC-INV-054,VICTORIA ROAD,INVERNESS,IN3,3WW,ENG003,Catriona Stewart,CI,150
W2300293,W2300286,GLASGOW,GLASGOW,ASSET-5677,Gas smell report investigation,Isolation required,4,IR,NO  [Root WO: Gas in Property = NO],JOINT,Section replaced with PE,N,0,0,1,0,0,CLOSE,2026-05-26 14:08:28,2026-05-26 07:32:00,2026-05-26 14:08:28,LOC-GLW-479,BUCHANAN STREET,GLASGOW,GL1,7ZY,ENG003,Catriona Stewart,ST,63
W2300294,W2300292,EDINBURGH,EDINBURGH,ASSET-8186,Service pipe leak repair,Bypass valve faulty,4,IR,NO  [Root WO: Gas in Property = YES],JOINT,Pipe section renewed,Y,0,0,0,0,1,PEND,2026-05-27 10:40:50,2026-05-27 08:07:00,2026-05-27 10:40:50,LOC-EDI-520,VICTORIA ROAD,EDINBURGH,ED4,1GS,ENG003,Catriona Stewart,AC,25
W2300295,W2300288,DUNDEE,DUNDEE,ASSET-5977,Valve replacement,Isolation required,1,EM,NO  [Root WO: Gas in Property = YES],JOINT,PE joint re-made,Y,0,0,1,0,0,CLOSE,2026-05-27 15:52:45,2026-05-27 12:44:00,2026-05-27 15:52:45,LOC-DND-022,PRINCES STREET,DUNDEE,DN2,1DG,ENG007,Morag Henderson,PE,150
W2300296,W2300295,INVERNESS,INVERNESS,ASSET-9354,Routine repair WO,No visible defect found on main,3,IR,NO,METER,Clamp fitted,Y,0,0,0,0,1,OPEN,2026-05-27 13:30:18,2026-05-27 06:48:00,2026-05-27 13:30:18,LOC-INV-581,MARKET STREET,INVERNESS,IN8,5AT,ENG012,Neil Forsyth,ST,63
W2300297,W2300293,ABERDEEN,ABERDEEN,ASSET-5092,Meter bypass repair,Bypass valve faulty,1,IR,NO  [Root WO: Gas in Property = NO],RISER,PE joint re-made,Y,0,0,0,1,0,PEND,2026-05-26 10:25:30,2026-05-26 07:14:00,2026-05-26 10:25:30,LOC-ABD-602,UNION STREET,ABERDEEN,AB1,2XY,ENG006,Kevin McAllister,ST,150
W2300298,W2300291,PERTH,PERTH,ASSET-1346,Service pipe leak repair,No visible defect found on main,2,EM,NO  [Root WO: Gas in Property = YES],METER,Clamp fitted,N,1,0,0,0,0,CLOSE,2026-05-27 15:57:14,2026-05-27 13:43:00,2026-05-27 15:57:14,LOC-PRT-064,CHURCH STREET,PERTH,PR4,9NY,ENG002,Alistair Fraser,PE,200
W2300299,W2300298,AYR,AYR,ASSET-4434,Service riser inspection,Temporary clamp applied,1,IR,NO  [Root WO: Gas in Property = YES],MAIN,Section replaced with PE,Y,0,0,0,0,1,COMP,2026-05-27 17:42:45,2026-05-27 08:49:00,2026-05-27 17:42:45,LOC-AYR-784,HIGH STREET,AYR,AY6,3MC,ENG001,John MacDonald,CI,150
W2300300,W2300292,MOTHERWELL,MOTHERWELL,ASSET-6449,Service riser inspection,PE joint failure on low pressure,4,MR,NO,METER,Section replaced with PE,N,0,1,0,0,0,OPEN,2026-05-26 15:30:50,2026-05-26 09:54:00,2026-05-26 15:30:50,LOC-MTH-183,HIGH STREET,MOTHERWELL,MT6,3EG,ENG011,Sandra Gillies,PE,25
