LDZ,Depot,Workstream,Engineer,Engineer Name,Team Manager Name,Workorder No.,Job Type,Job Priority,Actual Start,Actual Finish,Time On Site (HH:MM:SS),Duration (Hours)
EA,CAMBRIDGE,EMERGENCY,ENG020,Mark Holloway,Mark Booker,W5601317,ME,E1,2026-05-23 08:49:00,2026-05-23 22:25:00,13:36:00,13.6
WM,COVENTRY,ROUTINE,ENG040,Wayne Edwards,Mark Reygate,W5601318,EM,E2,2026-05-22 07:53:00,2026-05-22 19:53:00,12:00:00,12.0
SO,SALISBURY,REPAIR,ENG050,Phil Hodgkins,Phil Russell,W5601319,ME,R1,2026-05-23 09:10:00,2026-05-23 13:04:00,03:54:00,3.9
WM,COVENTRY,ROUTINE,ENG041,Una Cowling,Mark Reygate,W5601320,EM,E2,2026-05-23 06:11:00,2026-05-23 14:35:00,08:24:00,8.4
SE,GUILDFORD,METERING,ENG033,Julie Price,Pat Nolan,W5601321,EM,R2,2026-05-26 11:23:00,2026-05-27 03:23:00,16:00:00,16.0
NT,MANSFIELD,METERING,ENG061,Cathy Dean,Sue Holt,W5601322,RO,E1,2026-05-21 08:24:00,2026-05-21 19:12:00,10:48:00,10.8
WM,DUDLEY,ROUTINE,ENG040,Wayne Edwards,Mark Reygate,W5601323,RO,E2,2026-05-26 07:21:00,2026-05-26 10:15:00,02:54:00,2.9
WM,STOKE,INSPECTION,ENG041,Una Cowling,Mark Reygate,W5601324,RO,E1,2026-05-26 07:34:00,2026-05-26 19:40:00,12:06:00,12.1
SC,PERTH,INSPECTION,ENG002,Alistair Fraser,Steven Leckie,W5601325,ME,R1,2026-05-22 11:19:00,2026-05-23 00:55:00,13:36:00,13.6
WM,STOKE,REPAIR,ENG042,Steve Frost,Mark Reygate,W5601326,RO,M2,2026-05-23 06:13:00,2026-05-23 10:49:00,04:36:00,4.6
NT,MANSFIELD,EMERGENCY,ENG061,Cathy Dean,Sue Holt,W5601327,IR,M2,2026-05-25 08:56:00,2026-05-25 23:44:00,14:48:00,14.8
SC,PERTH,METERING,ENG006,Kevin McAllister,Gordon Shaw,W5601328,MR,R1,2026-05-26 06:24:00,2026-05-26 18:24:00,12:00:00,12.0
NE,GATESHEAD,ROUTINE,ENG072,Liz Cooke,Bill Tyne,W5601329,ME,E2,2026-05-26 10:31:00,2026-05-26 14:31:00,04:00:00,4.0
SE,MAIDSTONE,METERING,ENG032,Colin James,Pat Nolan,W5601330,RO,R1,2026-05-26 10:50:00,2026-05-26 13:44:00,02:54:00,2.9
SE,HORSHAM,ROUTINE,ENG030,Stuart Porter,Ray Ingram,W5601331,EM,M1,2026-05-23 10:22:00,2026-05-24 01:10:00,14:48:00,14.8
WM,WOLVERHAMPTON,EMERGENCY,ENG043,Diane Hunt,Tom Avery,W5601332,EM,E1,2026-05-26 10:11:00,2026-05-26 13:41:00,03:30:00,3.5
SO,BOURNEMOUTH,INSPECTION,ENG052,Chris Lamb,Phil Russell,W5601333,ME,M1,2026-05-21 08:44:00,2026-05-21 13:26:00,04:42:00,4.7
SO,PORTSMOUTH,REPAIR,ENG052,Chris Lamb,Phil Russell,W5601334,ME,E1,2026-05-22 06:20:00,2026-05-22 14:14:00,07:54:00,7.9
WM,COVENTRY,REPAIR,ENG042,Steve Frost,Mark Reygate,W5601335,ME,M2,2026-05-23 06:14:00,2026-05-23 10:50:00,04:36:00,4.6
EA,IPSWICH,METERING,ENG022,Peter Wong,Mark Booker,W5601336,RO,E2,2026-05-26 11:07:00,2026-05-27 00:37:00,13:30:00,13.5
SE,CROYDON,METERING,ENG031,Tracey McIntyre,Ray Ingram,W5601337,MR,M2,2026-05-23 07:11:00,2026-05-23 22:23:00,15:12:00,15.2
EA,PETERBOROUGH,INSPECTION,ENG021,Rachel Davies,Mark Booker,W5601338,ME,R1,2026-05-26 09:20:00,2026-05-26 20:56:00,11:36:00,11.6
SE,CROYDON,REPAIR,ENG033,Julie Price,Pat Nolan,W5601339,EM,R2,2026-05-21 08:34:00,2026-05-22 00:28:00,15:54:00,15.9
WM,STOKE,ROUTINE,ENG042,Steve Frost,Mark Reygate,W5601340,ME,E1,2026-05-25 08:03:00,2026-05-25 13:45:00,05:42:00,5.7
NW,BOLTON,INSPECTION,ENG011,Karen Simmons,Gary Williams,W5601341,RO,E1,2026-05-23 09:33:00,2026-05-23 19:51:00,10:18:00,10.3
SO,SALISBURY,ROUTINE,ENG050,Phil Hodgkins,Phil Russell,W5601342,IR,R1,2026-05-26 09:30:00,2026-05-26 12:36:00,03:06:00,3.1
NE,DURHAM,REPAIR,ENG071,Alan Shaw,Bill Tyne,W5601343,ME,M2,2026-05-23 10:20:00,2026-05-23 13:38:00,03:18:00,3.3
EA,BEDFORD,METERING,ENG021,Rachel Davies,Mark Booker,W5601344,MR,E2,2026-05-22 07:06:00,2026-05-22 10:30:00,03:24:00,3.4
SO,PORTSMOUTH,INSPECTION,ENG052,Chris Lamb,Phil Russell,W5601345,MR,E2,2026-05-27 10:42:00,2026-05-27 14:06:00,03:24:00,3.4
SO,SOUTHAMPTON,EMERGENCY,ENG050,Phil Hodgkins,Phil Russell,W5601346,MR,R2,2026-05-22 09:08:00,2026-05-22 17:38:00,08:30:00,8.5
EA,IPSWICH,INSPECTION,ENG022,Peter Wong,Mark Booker,W5601347,ME,E1,2026-05-21 11:22:00,2026-05-21 22:46:00,11:24:00,11.4
NT,MANSFIELD,ROUTINE,ENG061,Cathy Dean,Sue Holt,W5601348,RO,R2,2026-05-23 09:18:00,2026-05-23 22:24:00,13:06:00,13.1
SO,SOUTHAMPTON,ROUTINE,ENG050,Phil Hodgkins,Phil Russell,W5601349,RO,E2,2026-05-26 07:10:00,2026-05-26 20:16:00,13:06:00,13.1
SE,GUILDFORD,INSPECTION,ENG032,Colin James,Pat Nolan,W5601350,IR,E2,2026-05-26 10:24:00,2026-05-26 16:00:00,05:36:00,5.6
WM,DUDLEY,METERING,ENG043,Diane Hunt,Tom Avery,W5601351,IR,R2,2026-05-26 07:31:00,2026-05-26 13:07:00,05:36:00,5.6
EA,CAMBRIDGE,INSPECTION,ENG020,Mark Holloway,Mark Booker,W5601352,ME,M1,2026-05-21 08:20:00,2026-05-21 22:44:00,14:24:00,14.4
SE,EASTBOURNE,METERING,ENG033,Julie Price,Pat Nolan,W5601353,EM,R1,2026-05-24 08:07:00,2026-05-24 21:31:00,13:24:00,13.4
SE,BRIGHTON,ROUTINE,ENG033,Julie Price,Pat Nolan,W5601354,EM,E2,2026-05-25 06:45:00,2026-05-25 16:27:00,09:42:00,9.7
NW,MANCHESTER,ROUTINE,ENG010,Paul Dawson,Gary Williams,W5601355,MR,E2,2026-05-25 07:10:00,2026-05-25 22:52:00,15:42:00,15.7
WM,STOKE,REPAIR,ENG041,Una Cowling,Mark Reygate,W5601356,MR,M2,2026-05-21 06:22:00,2026-05-21 16:04:00,09:42:00,9.7
SC,INVERNESS,EMERGENCY,ENG002,Alistair Fraser,Steven Leckie,W5601357,EM,M2,2026-05-23 10:33:00,2026-05-23 18:45:00,08:11:59,8.2
SO,SOUTHAMPTON,ROUTINE,ENG051,Wendy Nash,Phil Russell,W5601358,EM,R2,2026-05-26 11:26:00,2026-05-27 01:02:00,13:36:00,13.6
SE,HORSHAM,METERING,ENG030,Stuart Porter,Ray Ingram,W5601359,EM,R1,2026-05-24 08:53:00,2026-05-24 11:11:00,02:18:00,2.3
WM,STOKE,EMERGENCY,ENG041,Una Cowling,Mark Reygate,W5601360,ME,R1,2026-05-22 10:50:00,2026-05-23 00:14:00,13:24:00,13.4
SE,CROYDON,METERING,ENG033,Julie Price,Pat Nolan,W5601361,EM,E1,2026-05-27 07:38:00,2026-05-27 11:38:00,04:00:00,4.0
EA,PETERBOROUGH,ROUTINE,ENG022,Peter Wong,Mark Booker,W5601362,EM,M2,2026-05-27 06:59:00,2026-05-27 13:23:00,06:24:00,6.4
SE,EASTBOURNE,REPAIR,ENG030,Stuart Porter,Ray Ingram,W5601363,EM,M2,2026-05-23 10:03:00,2026-05-23 14:57:00,04:54:00,4.9
SE,GUILDFORD,EMERGENCY,ENG033,Julie Price,Pat Nolan,W5601364,IR,R2,2026-05-26 08:01:00,2026-05-26 21:13:00,13:12:00,13.2
NT,MANSFIELD,EMERGENCY,ENG062,Fred Archer,Sue Holt,W5601365,MR,R2,2026-05-25 07:23:00,2026-05-25 16:23:00,09:00:00,9.0
NW,BOLTON,METERING,ENG014,Alan Sharp,Dave Clarke,W5601366,MR,E1,2026-05-23 08:48:00,2026-05-23 11:54:00,03:06:00,3.1
EA,CAMBRIDGE,ROUTINE,ENG020,Mark Holloway,Mark Booker,W5601367,MR,M2,2026-05-24 09:16:00,2026-05-24 13:22:00,04:05:59,4.1
SO,SALISBURY,INSPECTION,ENG051,Wendy Nash,Phil Russell,W5601368,EM,M1,2026-05-24 09:55:00,2026-05-24 13:43:00,03:48:00,3.8
NT,NOTTINGHAM,INSPECTION,ENG061,Cathy Dean,Sue Holt,W5601369,EM,R2,2026-05-23 06:10:00,2026-05-23 19:04:00,12:54:00,12.9
SO,SOUTHAMPTON,INSPECTION,ENG051,Wendy Nash,Phil Russell,W5601370,MR,R1,2026-05-25 06:51:00,2026-05-25 16:51:00,10:00:00,10.0
SO,SOUTHAMPTON,ROUTINE,ENG052,Chris Lamb,Phil Russell,W5601371,EM,R1,2026-05-21 10:38:00,2026-05-22 01:44:00,15:06:00,15.1
NE,GATESHEAD,INSPECTION,ENG072,Liz Cooke,Bill Tyne,W5601372,EM,E2,2026-05-22 06:07:00,2026-05-22 10:25:00,04:18:00,4.3
SC,STIRLING,METERING,ENG006,Kevin McAllister,Gordon Shaw,W5601373,ME,E1,2026-05-26 09:14:00,2026-05-26 23:32:00,14:18:00,14.3
SE,CROYDON,INSPECTION,ENG033,Julie Price,Pat Nolan,W5601374,EM,R2,2026-05-21 08:33:00,2026-05-21 17:33:00,09:00:00,9.0
SE,HORSHAM,METERING,ENG032,Colin James,Pat Nolan,W5601375,ME,E1,2026-05-21 11:21:00,2026-05-21 14:21:00,03:00:00,3.0
WM,STOKE,ROUTINE,ENG043,Diane Hunt,Tom Avery,W5601376,IR,E2,2026-05-24 06:36:00,2026-05-24 17:30:00,10:54:00,10.9
EA,IPSWICH,REPAIR,ENG022,Peter Wong,Mark Booker,W5601377,ME,R1,2026-05-25 08:26:00,2026-05-25 14:44:00,06:18:00,6.3
EA,IPSWICH,INSPECTION,ENG023,Sharon King,Anne Foster,W5601378,ME,M1,2026-05-25 10:30:00,2026-05-25 14:42:00,04:12:00,4.2
NW,BLACKBURN,METERING,ENG012,Brian Cook,Gary Williams,W5601379,EM,R1,2026-05-22 09:15:00,2026-05-22 12:09:00,02:54:00,2.9
SC,STIRLING,EMERGENCY,ENG002,Alistair Fraser,Steven Leckie,W5601380,MR,R1,2026-05-23 08:40:00,2026-05-23 13:46:00,05:06:00,5.1
EA,NORWICH,EMERGENCY,ENG022,Peter Wong,Mark Booker,W5601381,EM,R1,2026-05-21 10:35:00,2026-05-21 22:59:00,12:24:00,12.4
SO,PORTSMOUTH,REPAIR,ENG051,Wendy Nash,Phil Russell,W5601382,RO,R2,2026-05-23 09:38:00,2026-05-23 19:44:00,10:06:00,10.1
WM,WALSALL,METERING,ENG040,Wayne Edwards,Mark Reygate,W5601383,IR,M2,2026-05-25 11:41:00,2026-05-25 21:29:00,09:48:00,9.8
WM,COVENTRY,ROUTINE,ENG042,Steve Frost,Mark Reygate,W5601384,IR,R1,2026-05-27 09:54:00,2026-05-27 23:54:00,14:00:00,14.0
EA,PETERBOROUGH,EMERGENCY,ENG020,Mark Holloway,Mark Booker,W5601385,EM,E1,2026-05-26 08:36:00,2026-05-26 19:24:00,10:48:00,10.8
EA,IPSWICH,INSPECTION,ENG023,Sharon King,Anne Foster,W5601386,MR,R2,2026-05-21 11:13:00,2026-05-21 19:43:00,08:30:00,8.5
NT,NOTTINGHAM,EMERGENCY,ENG061,Cathy Dean,Sue Holt,W5601387,EM,E2,2026-05-26 09:27:00,2026-05-26 17:51:00,08:24:00,8.4
NE,MIDDLESBROUGH,REPAIR,ENG070,Janet Robb,Bill Tyne,W5601388,IR,E1,2026-05-25 06:41:00,2026-05-25 13:11:00,06:30:00,6.5
SO,SOUTHAMPTON,ROUTINE,ENG052,Chris Lamb,Phil Russell,W5601389,IR,M2,2026-05-27 08:35:00,2026-05-27 20:59:00,12:24:00,12.4
NT,LINCOLN,REPAIR,ENG062,Fred Archer,Sue Holt,W5601390,IR,R1,2026-05-25 10:51:00,2026-05-25 19:21:00,08:30:00,8.5
NE,NEWCASTLE,REPAIR,ENG070,Janet Robb,Bill Tyne,W5601391,IR,R1,2026-05-23 10:53:00,2026-05-24 02:05:00,15:12:00,15.2
NW,LIVERPOOL,EMERGENCY,ENG013,Helen Morris,Dave Clarke,W5601392,IR,E1,2026-05-27 09:46:00,2026-05-27 18:04:00,08:18:00,8.3
NE,DURHAM,REPAIR,ENG071,Alan Shaw,Bill Tyne,W5601393,EM,E2,2026-05-24 06:17:00,2026-05-24 14:23:00,08:06:00,8.1
NT,LEICESTER,METERING,ENG061,Cathy Dean,Sue Holt,W5601394,EM,R1,2026-05-26 08:36:00,2026-05-26 11:18:00,02:42:00,2.7
EA,CAMBRIDGE,INSPECTION,ENG021,Rachel Davies,Mark Booker,W5601395,ME,E1,2026-05-27 09:59:00,2026-05-27 15:47:00,05:48:00,5.8
EA,LUTON,REPAIR,ENG022,Peter Wong,Mark Booker,W5601396,IR,R2,2026-05-21 10:46:00,2026-05-21 14:52:00,04:05:59,4.1
EA,CAMBRIDGE,ROUTINE,ENG023,Sharon King,Anne Foster,W5601397,ME,E2,2026-05-25 11:01:00,2026-05-25 19:01:00,08:00:00,8.0
SC,STIRLING,EMERGENCY,ENG006,Kevin McAllister,Gordon Shaw,W5601398,IR,E2,2026-05-26 06:57:00,2026-05-26 20:27:00,13:30:00,13.5
SE,BRIGHTON,ROUTINE,ENG030,Stuart Porter,Ray Ingram,W5601399,RO,R2,2026-05-26 07:45:00,2026-05-26 16:51:00,09:06:00,9.1
SE,BRIGHTON,REPAIR,ENG030,Stuart Porter,Ray Ingram,W5601400,EM,M1,2026-05-24 11:01:00,2026-05-24 18:01:00,07:00:00,7.0
SC,DUNDEE,ROUTINE,ENG006,Kevin McAllister,Gordon Shaw,W5601401,MR,E1,2026-05-22 08:14:00,2026-05-22 15:20:00,07:06:00,7.1
SC,PAISLEY,INSPECTION,ENG002,Alistair Fraser,Steven Leckie,W5601402,ME,R1,2026-05-24 08:23:00,2026-05-24 16:05:00,07:42:00,7.7
SC,EDINBURGH,REPAIR,ENG003,Catriona Stewart,Graham Loan,W5601403,ME,R1,2026-05-25 07:41:00,2026-05-25 19:29:00,11:48:00,11.8
SC,DUNDEE,REPAIR,ENG001,John MacDonald,Steven Leckie,W5601404,RO,R1,2026-05-25 11:01:00,2026-05-25 17:25:00,06:24:00,6.4
SO,PORTSMOUTH,REPAIR,ENG052,Chris Lamb,Phil Russell,W5601405,MR,E1,2026-05-21 09:03:00,2026-05-21 12:27:00,03:24:00,3.4
WM,BIRMINGHAM,ROUTINE,ENG043,Diane Hunt,Tom Avery,W5601406,ME,E2,2026-05-24 09:09:00,2026-05-24 15:57:00,06:48:00,6.8
WM,COVENTRY,REPAIR,ENG042,Steve Frost,Mark Reygate,W5601407,IR,R1,2026-05-25 08:52:00,2026-05-25 14:28:00,05:36:00,5.6
NW,LIVERPOOL,ROUTINE,ENG011,Karen Simmons,Gary Williams,W5601408,ME,R2,2026-05-26 10:11:00,2026-05-26 22:29:00,12:18:00,12.3
WM,DUDLEY,EMERGENCY,ENG042,Steve Frost,Mark Reygate,W5601409,ME,R1,2026-05-26 09:29:00,2026-05-26 19:35:00,10:06:00,10.1
NE,GATESHEAD,METERING,ENG072,Liz Cooke,Bill Tyne,W5601410,RO,M1,2026-05-27 09:42:00,2026-05-27 14:12:00,04:30:00,4.5
WM,BIRMINGHAM,METERING,ENG040,Wayne Edwards,Mark Reygate,W5601411,IR,M2,2026-05-23 10:56:00,2026-05-23 13:26:00,02:30:00,2.5
NW,WARRINGTON,ROUTINE,ENG014,Alan Sharp,Dave Clarke,W5601412,EM,R1,2026-05-27 06:56:00,2026-05-27 09:14:00,02:18:00,2.3
SC,EDINBURGH,EMERGENCY,ENG001,John MacDonald,Steven Leckie,W5601413,MR,M1,2026-05-27 06:02:00,2026-05-27 08:08:00,02:06:00,2.1
NW,STOCKPORT,REPAIR,ENG011,Karen Simmons,Gary Williams,W5601414,RO,M1,2026-05-21 11:31:00,2026-05-21 14:01:00,02:30:00,2.5
NE,GATESHEAD,METERING,ENG070,Janet Robb,Bill Tyne,W5601415,RO,E2,2026-05-24 08:28:00,2026-05-24 22:58:00,14:30:00,14.5
WM,STOKE,REPAIR,ENG043,Diane Hunt,Tom Avery,W5601416,MR,E2,2026-05-26 06:59:00,2026-05-26 11:23:00,04:24:00,4.4
NE,NEWCASTLE,METERING,ENG072,Liz Cooke,Bill Tyne,W5601417,RO,M1,2026-05-26 08:33:00,2026-05-26 13:03:00,04:30:00,4.5
NW,WIGAN,INSPECTION,ENG012,Brian Cook,Gary Williams,W5601418,EM,R2,2026-05-21 10:13:00,2026-05-22 00:13:00,14:00:00,14.0
SO,SALISBURY,METERING,ENG050,Phil Hodgkins,Phil Russell,W5601419,IR,R2,2026-05-27 10:02:00,2026-05-27 19:26:00,09:24:00,9.4
NE,MIDDLESBROUGH,INSPECTION,ENG071,Alan Shaw,Bill Tyne,W5601420,ME,R1,2026-05-23 07:49:00,2026-05-23 18:55:00,11:06:00,11.1
SC,ABERDEEN,ROUTINE,ENG002,Alistair Fraser,Steven Leckie,W5601421,MR,R2,2026-05-21 10:38:00,2026-05-22 02:32:00,15:54:00,15.9
NT,LINCOLN,EMERGENCY,ENG062,Fred Archer,Sue Holt,W5601422,EM,R1,2026-05-22 11:19:00,2026-05-22 22:25:00,11:06:00,11.1
NE,SUNDERLAND,ROUTINE,ENG070,Janet Robb,Bill Tyne,W5601423,EM,M2,2026-05-25 09:39:00,2026-05-25 18:27:00,08:48:00,8.8
NT,DERBY,INSPECTION,ENG061,Cathy Dean,Sue Holt,W5601424,IR,E2,2026-05-22 08:18:00,2026-05-22 14:06:00,05:48:00,5.8
SC,PERTH,METERING,ENG003,Catriona Stewart,Graham Loan,W5601425,ME,R1,2026-05-22 11:06:00,2026-05-22 13:12:00,02:06:00,2.1
NW,STOCKPORT,INSPECTION,ENG013,Helen Morris,Dave Clarke,W5601426,MR,M2,2026-05-22 11:39:00,2026-05-22 18:03:00,06:24:00,6.4
EA,PETERBOROUGH,EMERGENCY,ENG021,Rachel Davies,Mark Booker,W5601427,MR,M2,2026-05-26 08:41:00,2026-05-27 00:11:00,15:30:00,15.5
SE,MAIDSTONE,EMERGENCY,ENG032,Colin James,Pat Nolan,W5601428,MR,M1,2026-05-24 06:28:00,2026-05-24 08:34:00,02:06:00,2.1
NE,DURHAM,ROUTINE,ENG070,Janet Robb,Bill Tyne,W5601429,ME,E2,2026-05-23 06:46:00,2026-05-23 15:40:00,08:54:00,8.9
WM,WOLVERHAMPTON,EMERGENCY,ENG042,Steve Frost,Mark Reygate,W5601430,IR,M1,2026-05-23 08:35:00,2026-05-23 15:53:00,07:18:00,7.3
EA,BEDFORD,EMERGENCY,ENG023,Sharon King,Anne Foster,W5601431,EM,E2,2026-05-21 06:42:00,2026-05-21 11:00:00,04:18:00,4.3
NW,BOLTON,INSPECTION,ENG011,Karen Simmons,Gary Williams,W5601432,MR,M2,2026-05-23 07:03:00,2026-05-23 16:57:00,09:54:00,9.9
EA,NORWICH,REPAIR,ENG023,Sharon King,Anne Foster,W5601433,EM,E2,2026-05-23 07:13:00,2026-05-23 21:19:00,14:06:00,14.1
NW,BLACKBURN,ROUTINE,ENG012,Brian Cook,Gary Williams,W5601434,MR,E1,2026-05-24 06:24:00,2026-05-24 09:54:00,03:30:00,3.5
NW,MANCHESTER,EMERGENCY,ENG013,Helen Morris,Dave Clarke,W5601435,MR,R1,2026-05-23 08:38:00,2026-05-23 17:50:00,09:12:00,9.2
SO,BOURNEMOUTH,INSPECTION,ENG051,Wendy Nash,Phil Russell,W5601436,EM,M2,2026-05-24 11:30:00,2026-05-24 22:18:00,10:48:00,10.8
SE,EASTBOURNE,REPAIR,ENG033,Julie Price,Pat Nolan,W5601437,IR,M1,2026-05-25 09:42:00,2026-05-26 01:00:00,15:18:00,15.3
SC,STIRLING,EMERGENCY,ENG003,Catriona Stewart,Graham Loan,W5601438,ME,E2,2026-05-21 09:18:00,2026-05-21 15:24:00,06:06:00,6.1
NE,SUNDERLAND,METERING,ENG070,Janet Robb,Bill Tyne,W5601439,EM,M1,2026-05-24 08:38:00,2026-05-25 00:26:00,15:48:00,15.8
WM,WOLVERHAMPTON,ROUTINE,ENG041,Una Cowling,Mark Reygate,W5601440,EM,M2,2026-05-24 06:35:00,2026-05-24 14:17:00,07:42:00,7.7
WM,COVENTRY,REPAIR,ENG040,Wayne Edwards,Mark Reygate,W5601441,IR,E2,2026-05-21 11:07:00,2026-05-22 02:01:00,14:54:00,14.9
NT,DERBY,METERING,ENG060,Barry Noon,Sue Holt,W5601442,EM,M1,2026-05-26 09:28:00,2026-05-26 20:04:00,10:36:00,10.6
WM,WALSALL,ROUTINE,ENG042,Steve Frost,Mark Reygate,W5601443,IR,E2,2026-05-27 07:08:00,2026-05-27 15:26:00,08:18:00,8.3
SE,MAIDSTONE,ROUTINE,ENG031,Tracey McIntyre,Ray Ingram,W5601444,IR,M1,2026-05-21 10:18:00,2026-05-22 01:06:00,14:48:00,14.8
SE,GUILDFORD,REPAIR,ENG031,Tracey McIntyre,Ray Ingram,W5601445,MR,E1,2026-05-21 07:49:00,2026-05-21 23:19:00,15:30:00,15.5
NE,GATESHEAD,ROUTINE,ENG072,Liz Cooke,Bill Tyne,W5601446,MR,E1,2026-05-26 10:30:00,2026-05-26 22:00:00,11:30:00,11.5
EA,PETERBOROUGH,REPAIR,ENG021,Rachel Davies,Mark Booker,W5601447,EM,R2,2026-05-21 06:05:00,2026-05-21 15:11:00,09:06:00,9.1
NW,BOLTON,METERING,ENG012,Brian Cook,Gary Williams,W5601448,EM,R2,2026-05-21 09:23:00,2026-05-22 01:17:00,15:54:00,15.9
EA,NORWICH,REPAIR,ENG023,Sharon King,Anne Foster,W5601449,EM,R2,2026-05-23 09:36:00,2026-05-23 17:48:00,08:11:59,8.2
SO,BOURNEMOUTH,EMERGENCY,ENG051,Wendy Nash,Phil Russell,W5601450,RO,R1,2026-05-25 11:35:00,2026-05-25 18:29:00,06:54:00,6.9
NE,SUNDERLAND,REPAIR,ENG070,Janet Robb,Bill Tyne,W5601451,ME,E1,2026-05-23 07:12:00,2026-05-23 21:48:00,14:36:00,14.6
SO,SOUTHAMPTON,METERING,ENG052,Chris Lamb,Phil Russell,W5601452,EM,R1,2026-05-23 09:38:00,2026-05-23 13:08:00,03:30:00,3.5
NE,SUNDERLAND,REPAIR,ENG072,Liz Cooke,Bill Tyne,W5601453,ME,M2,2026-05-27 11:26:00,2026-05-27 14:50:00,03:24:00,3.4
NT,NOTTINGHAM,METERING,ENG061,Cathy Dean,Sue Holt,W5601454,RO,R1,2026-05-27 08:14:00,2026-05-27 12:08:00,03:54:00,3.9
SC,DUNDEE,REPAIR,ENG006,Kevin McAllister,Gordon Shaw,W5601455,RO,R2,2026-05-24 08:24:00,2026-05-24 17:00:00,08:36:00,8.6
SO,SALISBURY,REPAIR,ENG051,Wendy Nash,Phil Russell,W5601456,MR,R2,2026-05-27 08:28:00,2026-05-27 17:46:00,09:18:00,9.3
SO,PORTSMOUTH,ROUTINE,ENG051,Wendy Nash,Phil Russell,W5601457,IR,R1,2026-05-26 09:58:00,2026-05-26 15:10:00,05:12:00,5.2
SE,GUILDFORD,EMERGENCY,ENG032,Colin James,Pat Nolan,W5601458,EM,E2,2026-05-26 10:28:00,2026-05-26 19:16:00,08:48:00,8.8
SO,PORTSMOUTH,REPAIR,ENG052,Chris Lamb,Phil Russell,W5601459,RO,M2,2026-05-21 11:09:00,2026-05-21 21:15:00,10:06:00,10.1
WM,WOLVERHAMPTON,METERING,ENG041,Una Cowling,Mark Reygate,W5601460,IR,M1,2026-05-24 09:58:00,2026-05-24 18:52:00,08:54:00,8.9
NE,SUNDERLAND,ROUTINE,ENG071,Alan Shaw,Bill Tyne,W5601461,ME,E1,2026-05-25 11:34:00,2026-05-25 22:58:00,11:24:00,11.4
NW,BLACKBURN,INSPECTION,ENG011,Karen Simmons,Gary Williams,W5601462,IR,E1,2026-05-27 11:24:00,2026-05-27 20:42:00,09:18:00,9.3
NT,NOTTINGHAM,METERING,ENG060,Barry Noon,Sue Holt,W5601463,IR,R2,2026-05-25 09:55:00,2026-05-25 19:49:00,09:54:00,9.9
WM,BIRMINGHAM,REPAIR,ENG040,Wayne Edwards,Mark Reygate,W5601464,MR,M1,2026-05-22 10:23:00,2026-05-22 12:29:00,02:06:00,2.1
EA,IPSWICH,EMERGENCY,ENG023,Sharon King,Anne Foster,W5601465,ME,M1,2026-05-22 08:50:00,2026-05-22 19:26:00,10:36:00,10.6
NE,MIDDLESBROUGH,REPAIR,ENG072,Liz Cooke,Bill Tyne,W5601466,RO,M1,2026-05-25 06:08:00,2026-05-25 14:32:00,08:24:00,8.4
WM,WOLVERHAMPTON,ROUTINE,ENG041,Una Cowling,Mark Reygate,W5601467,EM,R2,2026-05-23 11:29:00,2026-05-23 18:23:00,06:54:00,6.9
SC,PERTH,METERING,ENG002,Alistair Fraser,Steven Leckie,W5601468,IR,M2,2026-05-25 08:38:00,2026-05-25 18:02:00,09:24:00,9.4
SE,BRIGHTON,METERING,ENG033,Julie Price,Pat Nolan,W5601469,RO,E1,2026-05-26 09:30:00,2026-05-26 18:18:00,08:48:00,8.8
NE,NEWCASTLE,METERING,ENG070,Janet Robb,Bill Tyne,W5601470,IR,E2,2026-05-27 09:25:00,2026-05-27 15:01:00,05:36:00,5.6
NW,MANCHESTER,REPAIR,ENG012,Brian Cook,Gary Williams,W5601471,IR,R1,2026-05-27 06:53:00,2026-05-27 21:23:00,14:30:00,14.5
NW,BLACKBURN,INSPECTION,ENG010,Paul Dawson,Gary Williams,W5601472,IR,R2,2026-05-22 08:50:00,2026-05-22 17:38:00,08:48:00,8.8
EA,PETERBOROUGH,EMERGENCY,ENG020,Mark Holloway,Mark Booker,W5601473,ME,M2,2026-05-23 10:30:00,2026-05-23 17:00:00,06:30:00,6.5
EA,BEDFORD,INSPECTION,ENG022,Peter Wong,Mark Booker,W5601474,IR,R1,2026-05-25 08:13:00,2026-05-25 22:43:00,14:30:00,14.5
NE,SUNDERLAND,ROUTINE,ENG072,Liz Cooke,Bill Tyne,W5601475,IR,R2,2026-05-25 07:43:00,2026-05-25 19:55:00,12:12:00,12.2
NE,DURHAM,REPAIR,ENG072,Liz Cooke,Bill Tyne,W5601476,RO,M1,2026-05-21 08:15:00,2026-05-21 20:15:00,12:00:00,12.0
SO,BASINGSTOKE,EMERGENCY,ENG050,Phil Hodgkins,Phil Russell,W5601477,RO,M1,2026-05-23 06:30:00,2026-05-23 14:30:00,08:00:00,8.0
SE,HORSHAM,ROUTINE,ENG033,Julie Price,Pat Nolan,W5601478,ME,M1,2026-05-23 09:39:00,2026-05-24 00:39:00,15:00:00,15.0
WM,WOLVERHAMPTON,ROUTINE,ENG043,Diane Hunt,Tom Avery,W5601479,ME,R2,2026-05-22 11:00:00,2026-05-23 01:06:00,14:06:00,14.1
NE,NEWCASTLE,ROUTINE,ENG072,Liz Cooke,Bill Tyne,W5601480,EM,E2,2026-05-24 09:48:00,2026-05-24 21:42:00,11:54:00,11.9
